math_marks,science_marks,social_marks,english_marks,hobby,activity,logic_score,creative_score,leadership_score,stream
71,70,86,72,Artistic,Drama,2,2,1,Humanities
53,77,73,67,Technical,Volunteering,3,2,2,Science
78,76,76,95,Technical,Robotics,4,5,5,Science
77,90,71,90,Technical,Robotics,4,4,5,Science
60,84,52,69,Artistic,Drama,5,2,1,Humanities
85,85,95,92,Business,Finance Club,5,5,4,Commerce
60,63,60,85,Business,Finance Club,2,4,1,Humanities
71,87,71,80,Technical,Robotics,5,1,3,Science
88,92,59,39,Business,Finance Club,5,1,1,Science
66,76,84,71,Literary,Volunteering,4,5,2,Humanities
81,51,76,88,Technical,Robotics,4,5,4,Science
77,74,95,81,Literary,Volunteering,3,4,3,Humanities
84,67,68,62,Literary,Volunteering,3,4,3,Humanities
68,80,72,75,Technical,Volunteering,1,1,1,Science
74,83,86,70,Business,Volunteering,4,2,3,Commerce
87,76,82,95,Technical,Robotics,5,4,2,Science
66,58,66,80,Artistic,Debating,2,3,2,Humanities
68,61,66,58,Literary,Debating,1,2,2,Humanities
78,56,86,89,Business,Finance Club,3,4,2,Commerce
68,75,60,78,Literary,Volunteering,2,2,1,Humanities
65,79,77,56,Business,Entrepreneurship,4,1,1,Commerce
67,71,74,78,Artistic,Volunteering,1,1,1,Humanities
75,89,52,79,Technical,Robotics,5,4,1,Science
73,71,73,91,Technical,Volunteering,1,4,3,Humanities
75,64,61,56,Artistic,Volunteering,1,2,1,Humanities
85,76,76,77,Business,Finance Club,5,4,4,Commerce
68,57,77,79,Literary,Debating,3,3,3,Humanities
88,100,61,70,Technical,Robotics,5,3,3,Science
86,67,72,78,Artistic,Volunteering,3,5,5,Humanities
75,69,80,65,Business,Volunteering,2,2,3,Commerce
85,100,74,69,Technical,Volunteering,5,2,3,Science
74,67,72,66,Technical,Volunteering,3,2,3,Science
72,96,72,70,Technical,Volunteering,5,1,3,Science
82,80,70,94,Technical,Volunteering,5,3,5,Science
70,87,95,93,Technical,Robotics,4,5,4,Science
78,74,61,81,Technical,Robotics,4,2,1,Science
72,69,69,46,Literary,Drama,1,1,3,Humanities
66,51,76,84,Literary,Volunteering,1,5,2,Humanities
77,64,82,79,Business,Entrepreneurship,1,5,5,Commerce
83,100,81,71,Business,Volunteering,5,1,3,Science
89,98,68,74,Business,Volunteering,5,4,1,Science
63,79,66,37,Literary,Volunteering,3,1,4,Science
82,88,61,59,Business,Finance Club,4,1,4,Commerce
98,73,90,67,Technical,Volunteering,5,3,5,Science
85,70,83,78,Literary,Volunteering,4,4,5,Humanities
63,85,52,58,Technical,Volunteering,5,1,4,Science
94,79,96,87,Business,Finance Club,4,5,1,Humanities
62,55,73,74,Business,Finance Club,1,1,5,Commerce
66,67,56,77,Literary,Debating,2,3,2,Humanities
64,65,69,83,Literary,Volunteering,1,5,4,Humanities
75,75,49,85,Technical,Robotics,5,1,3,Science
80,70,77,60,Literary,Debating,1,4,3,Humanities
54,58,74,93,Literary,Debating,1,5,3,Humanities
90,91,62,77,Business,Finance Club,5,5,4,Science
82,92,72,81,Technical,Volunteering,4,5,5,Science
53,76,76,80,Literary,Debating,1,2,3,Humanities
86,74,78,67,Literary,Drama,2,4,2,Humanities
59,65,63,72,Literary,Debating,2,2,2,Humanities
83,95,85,100,Technical,Volunteering,5,5,2,Science
76,65,73,100,Business,Entrepreneurship,2,5,3,Humanities
51,56,63,62,Literary,Drama,2,1,3,Humanities
73,80,72,77,Technical,Volunteering,4,4,1,Science
59,91,69,64,Literary,Volunteering,4,2,5,Science
86,71,74,60,Literary,Debating,3,2,3,Humanities
65,69,76,63,Technical,Robotics,2,3,2,Science
65,60,67,60,Artistic,Drama,1,1,4,Humanities
75,73,74,64,Artistic,Volunteering,3,3,1,Humanities
59,72,75,64,Literary,Debating,1,1,5,Humanities
79,79,81,84,Literary,Drama,3,4,4,Humanities
100,100,91,79,Technical,Robotics,5,4,3,Science
67,68,67,63,Literary,Drama,3,1,1,Humanities
79,90,71,55,Technical,Volunteering,4,1,2,Science
75,72,62,81,Artistic,Debating,3,4,2,Humanities
76,85,71,71,Business,Volunteering,3,1,5,Commerce
57,65,72,78,Artistic,Debating,2,4,1,Humanities
88,82,57,50,Artistic,Drama,4,1,3,Science
57,54,61,84,Artistic,Volunteering,1,5,1,Humanities
68,59,75,54,Artistic,Debating,1,1,5,Humanities
65,71,70,79,Literary,Volunteering,1,1,3,Humanities
68,63,88,73,Technical,Robotics,1,3,5,Science
72,60,80,91,Artistic,Debating,1,3,3,Humanities
67,65,78,83,Business,Finance Club,2,2,4,Commerce
45,65,94,76,Artistic,Volunteering,1,3,2,Humanities
54,71,60,56,Technical,Volunteering,2,1,2,Science
86,88,86,62,Business,Finance Club,5,4,5,Commerce
68,93,81,79,Technical,Robotics,3,4,4,Science
64,63,91,79,Literary,Volunteering,1,5,5,Humanities
84,78,81,95,Artistic,Debating,3,5,2,Humanities
84,55,86,76,Business,Volunteering,2,4,5,Commerce
46,73,87,92,Artistic,Debating,2,4,1,Humanities
52,68,70,76,Literary,Drama,1,4,3,Humanities
78,63,81,80,Literary,Volunteering,2,5,1,Humanities
83,83,62,94,Technical,Volunteering,5,2,4,Science
76,84,64,79,Business,Entrepreneurship,3,2,5,Commerce
67,73,78,82,Business,Finance Club,3,5,5,Commerce
100,78,81,67,Literary,Volunteering,4,2,5,Science
60,71,80,84,Literary,Volunteering,1,5,1,Humanities
87,98,85,83,Technical,Robotics,5,4,1,Science
85,72,59,62,Technical,Robotics,4,1,2,Science
79,74,79,70,Technical,Robotics,4,2,4,Science
85,77,79,65,Artistic,Volunteering,3,4,2,Humanities
67,78,72,62,Literary,Volunteering,1,1,3,Humanities
98,86,77,86,Business,Volunteering,4,5,2,Science
74,65,70,82,Technical,Volunteering,1,3,3,Humanities
96,78,76,82,Technical,Volunteering,5,5,3,Science
96,79,69,75,Technical,Robotics,5,1,1,Science
93,87,76,60,Technical,Robotics,5,2,5,Science
82,79,76,89,Business,Finance Club,4,4,3,Commerce
100,91,92,90,Business,Volunteering,5,5,3,Science
75,72,66,68,Business,Entrepreneurship,3,2,4,Commerce
85,93,83,69,Literary,Volunteering,3,1,3,Science
64,67,76,63,Technical,Robotics,3,1,4,Science
52,70,82,65,Technical,Robotics,1,3,3,Science
58,66,75,70,Business,Finance Club,2,3,5,Commerce
54,75,76,75,Business,Entrepreneurship,3,1,5,Commerce
74,86,61,54,Artistic,Debating,3,1,4,Science
75,68,62,72,Artistic,Volunteering,4,1,3,Science
55,65,66,74,Business,Volunteering,2,3,4,Commerce
86,95,45,52,Business,Entrepreneurship,5,1,2,Science
82,70,92,86,Technical,Volunteering,3,2,5,Science
80,77,78,75,Technical,Volunteering,5,2,4,Science
68,72,87,65,Artistic,Drama,2,5,2,Humanities
81,71,85,68,Literary,Volunteering,2,2,1,Humanities
62,79,53,61,Business,Entrepreneurship,1,1,4,Commerce
66,72,78,100,Artistic,Volunteering,3,5,2,Humanities
69,71,59,74,Business,Volunteering,1,1,4,Commerce
84,90,66,73,Technical,Robotics,3,3,2,Science
53,50,67,91,Artistic,Volunteering,2,5,3,Humanities
68,99,83,90,Technical,Volunteering,4,4,2,Science
84,75,80,71,Artistic,Drama,3,4,3,Humanities
68,75,90,83,Business,Volunteering,1,3,5,Commerce
75,50,70,76,Literary,Volunteering,1,3,2,Humanities
71,96,81,86,Literary,Drama,3,4,3,Humanities
65,60,88,78,Artistic,Drama,1,3,3,Humanities
76,71,69,52,Literary,Debating,1,4,3,Humanities
91,80,79,93,Business,Entrepreneurship,5,5,3,Commerce
46,54,81,68,Artistic,Volunteering,1,4,3,Humanities
53,65,55,65,Artistic,Drama,1,1,2,Humanities
54,82,68,68,Technical,Robotics,4,1,5,Science
81,79,86,88,Artistic,Volunteering,3,5,3,Humanities
70,76,78,66,Artistic,Drama,2,2,5,Humanities
81,79,73,78,Technical,Volunteering,5,5,4,Science
48,76,75,99,Literary,Volunteering,1,4,2,Humanities
68,75,81,45,Artistic,Volunteering,3,1,4,Commerce
78,76,68,97,Artistic,Volunteering,5,5,1,Humanities
68,55,82,50,Technical,Robotics,2,1,1,Science
52,54,81,49,Artistic,Drama,1,4,4,Humanities
73,77,69,76,Artistic,Volunteering,3,2,3,Humanities
91,83,77,58,Literary,Debating,5,3,4,Science
82,93,47,49,Technical,Robotics,5,1,2,Science
77,91,58,56,Literary,Debating,4,1,5,Science
73,81,80,73,Artistic,Debating,3,5,2,Humanities
88,61,69,76,Technical,Volunteering,4,2,3,Science
63,79,74,78,Artistic,Debating,2,4,3,Humanities
57,74,81,73,Business,Finance Club,1,3,4,Commerce
80,72,61,75,Literary,Debating,1,4,4,Humanities
89,81,70,92,Artistic,Drama,3,4,2,Humanities
74,60,97,74,Artistic,Debating,1,5,4,Humanities
68,60,69,82,Artistic,Volunteering,1,4,3,Humanities
66,55,59,67,Literary,Debating,2,1,1,Humanities
69,64,98,81,Literary,Debating,1,4,2,Humanities
81,73,72,83,Business,Finance Club,5,3,4,Commerce
84,66,75,81,Business,Finance Club,2,3,2,Commerce
61,72,88,92,Artistic,Drama,3,5,3,Humanities
73,74,57,86,Technical,Robotics,4,2,3,Science
76,88,89,100,Technical,Robotics,5,5,1,Science
57,68,84,89,Artistic,Volunteering,2,5,5,Humanities
72,92,79,79,Technical,Volunteering,4,5,2,Science
100,61,51,79,Technical,Volunteering,3,1,1,Science
63,95,90,72,Technical,Robotics,5,4,2,Science
75,60,74,69,Artistic,Debating,3,4,5,Humanities
80,54,75,83,Business,Entrepreneurship,1,4,2,Commerce
71,75,79,75,Literary,Volunteering,5,1,1,Science
74,78,59,93,Literary,Volunteering,2,4,2,Humanities
56,65,75,73,Literary,Debating,1,2,4,Humanities
71,67,75,63,Technical,Volunteering,2,1,1,Science
76,77,93,100,Technical,Volunteering,4,5,3,Humanities
54,58,66,91,Technical,Robotics,1,2,1,Science
65,75,66,81,Artistic,Drama,3,4,3,Humanities
77,85,68,68,Technical,Volunteering,5,2,5,Science
70,77,73,77,Literary,Drama,2,4,1,Humanities
59,94,77,62,Technical,Robotics,4,1,5,Science
71,84,67,69,Technical,Volunteering,3,3,4,Science
86,66,77,76,Business,Entrepreneurship,1,2,4,Commerce
89,51,45,62,Business,Finance Club,1,2,4,Commerce
69,77,58,41,Business,Volunteering,3,1,1,Science
58,69,79,72,Business,Entrepreneurship,2,3,1,Commerce
87,66,75,82,Technical,Robotics,2,4,1,Science
51,73,69,56,Business,Volunteering,1,1,5,Commerce
44,56,83,97,Artistic,Debating,1,5,4,Humanities
88,88,80,75,Literary,Debating,4,2,2,Humanities
79,67,65,86,Literary,Drama,3,1,4,Humanities
65,85,81,94,Business,Volunteering,4,5,4,Humanities
62,72,58,82,Literary,Debating,1,4,3,Humanities
83,73,91,86,Artistic,Debating,2,4,2,Humanities
75,77,78,56,Literary,Debating,3,2,2,Humanities
52,62,77,78,Artistic,Volunteering,1,2,2,Humanities
70,75,77,78,Artistic,Debating,3,5,2,Humanities
61,89,81,82,Artistic,Debating,2,4,3,Humanities
85,71,93,80,Technical,Volunteering,5,4,3,Science
82,78,82,82,Technical,Robotics,5,4,5,Science
82,86,83,69,Artistic,Debating,3,5,4,Humanities
85,86,61,74,Business,Entrepreneurship,1,3,3,Commerce
69,66,71,59,Business,Entrepreneurship,3,1,5,Commerce
71,79,73,82,Technical,Robotics,4,5,5,Science
79,79,55,72,Technical,Volunteering,5,1,2,Science
84,79,94,77,Technical,Robotics,5,3,5,Science
79,76,79,85,Artistic,Debating,2,5,5,Humanities
74,81,87,54,Technical,Volunteering,1,2,1,Science
90,67,83,89,Technical,Volunteering,5,5,2,Science
82,66,74,54,Business,Finance Club,2,1,4,Commerce
69,91,57,64,Business,Finance Club,2,1,5,Commerce
71,73,68,79,Technical,Robotics,5,5,1,Science
63,67,92,91,Artistic,Volunteering,2,5,3,Humanities
73,98,55,74,Business,Volunteering,5,2,2,Science
49,64,63,71,Artistic,Debating,1,2,1,Humanities
82,67,72,74,Artistic,Drama,3,4,3,Humanities
100,79,89,83,Business,Volunteering,4,5,5,Commerce
67,63,48,67,Literary,Debating,2,1,2,Humanities
60,97,58,90,Literary,Debating,2,5,2,Humanities
66,65,79,71,Artistic,Drama,3,2,4,Humanities
93,85,67,64,Technical,Volunteering,5,1,4,Science
75,70,69,77,Technical,Robotics,4,2,4,Science
82,76,69,82,Technical,Robotics,5,5,3,Science
79,74,91,77,Artistic,Drama,3,4,5,Humanities
60,83,69,78,Technical,Robotics,3,2,2,Science
95,77,66,75,Artistic,Debating,3,4,5,Humanities
84,89,80,75,Artistic,Debating,5,4,5,Humanities
62,56,69,82,Technical,Robotics,1,3,1,Science
56,69,83,57,Business,Entrepreneurship,1,2,4,Commerce
78,76,76,47,Business,Volunteering,2,1,5,Commerce
97,91,82,65,Technical,Robotics,5,1,2,Science
83,75,71,72,Technical,Volunteering,4,2,4,Science
93,88,70,56,Technical,Volunteering,5,3,4,Science
73,79,68,70,Literary,Debating,2,4,2,Humanities
66,60,81,70,Business,Finance Club,2,4,5,Commerce
67,54,76,92,Artistic,Debating,1,5,3,Humanities
78,87,62,83,Business,Volunteering,1,4,3,Commerce
80,70,82,75,Technical,Volunteering,5,3,4,Science
94,78,56,56,Artistic,Drama,4,1,2,Science
64,77,62,82,Artistic,Debating,1,3,2,Humanities
69,72,77,89,Literary,Drama,2,5,5,Humanities
68,69,71,71,Technical,Volunteering,4,4,5,Science
84,85,60,64,Literary,Drama,5,2,5,Science
74,82,69,81,Literary,Debating,3,2,2,Humanities
69,78,66,78,Artistic,Debating,1,5,1,Humanities
78,60,69,66,Literary,Debating,2,1,2,Humanities
68,65,71,82,Literary,Drama,1,3,2,Humanities
77,83,63,89,Technical,Robotics,3,4,2,Science
55,59,83,85,Artistic,Drama,2,4,2,Humanities
75,85,58,85,Technical,Robotics,4,3,2,Science
84,82,79,61,Business,Entrepreneurship,3,2,1,Commerce
91,52,71,68,Technical,Robotics,3,1,1,Science
63,68,73,57,Artistic,Debating,2,4,2,Humanities
83,57,65,68,Artistic,Drama,2,1,3,Humanities
76,94,83,72,Artistic,Drama,4,3,3,Humanities
100,77,72,79,Technical,Robotics,5,4,1,Science
91,76,68,100,Technical,Robotics,5,5,5,Science
75,56,76,89,Literary,Drama,2,4,1,Humanities
89,79,87,59,Artistic,Drama,5,1,3,Science
91,100,56,86,Literary,Volunteering,5,3,3,Science
62,59,76,66,Literary,Volunteering,1,3,3,Humanities
85,91,63,49,Technical,Volunteering,5,1,3,Science
83,57,70,71,Literary,Debating,2,4,1,Humanities
73,58,59,91,Business,Finance Club,2,2,4,Commerce
88,73,88,62,Business,Volunteering,3,2,4,Commerce
75,84,54,71,Artistic,Drama,1,3,1,Humanities
100,75,35,57,Technical,Robotics,4,1,1,Science
71,90,78,83,Literary,Volunteering,3,4,4,Humanities
80,85,79,80,Artistic,Volunteering,5,3,4,Humanities
75,79,95,84,Artistic,Volunteering,3,5,4,Humanities
57,73,75,81,Business,Volunteering,2,2,1,Humanities
68,95,58,80,Business,Volunteering,2,3,4,Commerce
76,60,81,83,Artistic,Debating,1,5,1,Humanities
55,68,53,67,Artistic,Drama,1,1,3,Humanities
72,84,60,68,Artistic,Volunteering,3,2,1,Science
96,65,99,73,Literary,Volunteering,3,5,4,Humanities
67,82,84,75,Artistic,Volunteering,1,2,5,Humanities
45,53,77,70,Literary,Volunteering,1,1,4,Humanities
55,73,68,80,Business,Entrepreneurship,1,1,4,Commerce
73,87,65,87,Artistic,Drama,2,4,2,Humanities
68,63,65,90,Artistic,Drama,1,5,2,Humanities
59,69,56,66,Literary,Drama,2,1,1,Humanities
94,89,80,77,Technical,Robotics,4,3,3,Science
69,86,68,68,Business,Finance Club,2,1,2,Commerce
89,66,61,80,Technical,Robotics,4,2,1,Science
62,77,70,77,Literary,Volunteering,3,2,5,Humanities
85,100,84,77,Literary,Volunteering,4,3,3,Humanities
78,76,75,75,Business,Finance Club,4,4,4,Commerce
85,74,73,64,Business,Entrepreneurship,5,2,1,Science
79,84,72,68,Literary,Volunteering,2,2,4,Humanities
79,84,60,75,Artistic,Volunteering,3,4,1,Humanities
62,59,57,82,Literary,Drama,1,1,3,Humanities
100,71,55,58,Technical,Robotics,5,1,1,Science
86,49,76,58,Artistic,Drama,4,1,4,Humanities
76,58,82,63,Business,Entrepreneurship,3,2,4,Commerce
92,82,65,58,Technical,Volunteering,5,1,1,Science
66,64,82,94,Business,Entrepreneurship,2,3,3,Commerce
81,99,63,71,Literary,Debating,5,2,2,Science
84,65,77,74,Artistic,Debating,2,2,3,Humanities
81,89,85,71,Technical,Robotics,5,4,2,Science
64,76,62,61,Technical,Volunteering,4,3,3,Science
81,81,80,84,Technical,Robotics,4,5,4,Science
62,78,70,48,Literary,Volunteering,3,2,4,Humanities
57,71,79,62,Business,Finance Club,1,3,4,Commerce
66,78,91,81,Artistic,Drama,2,5,5,Humanities
70,72,79,67,Business,Volunteering,1,2,5,Commerce
65,73,73,95,Artistic,Volunteering,2,5,5,Humanities
64,57,84,64,Business,Volunteering,2,2,2,Commerce
79,77,78,71,Business,Finance Club,2,1,4,Commerce
69,59,82,75,Artistic,Drama,3,2,3,Humanities
91,54,74,84,Artistic,Drama,2,5,4,Humanities
53,71,78,75,Technical,Robotics,2,4,3,Science
74,81,85,61,Artistic,Volunteering,4,4,4,Humanities
89,81,64,55,Technical,Volunteering,5,2,2,Science
90,79,71,59,Artistic,Debating,3,1,2,Science
67,71,54,67,Literary,Drama,2,1,1,Humanities
47,57,76,81,Technical,Robotics,2,4,2,Humanities
94,70,70,90,Technical,Volunteering,5,4,4,Science
57,53,51,68,Business,Volunteering,2,1,4,Commerce
91,65,79,47,Business,Volunteering,5,3,3,Commerce
62,87,76,55,Technical,Volunteering,5,2,2,Science
69,71,71,58,Technical,Robotics,4,2,5,Science
65,62,77,75,Business,Entrepreneurship,2,3,3,Commerce
63,89,79,88,Literary,Debating,4,3,2,Humanities
61,51,78,80,Business,Entrepreneurship,1,1,2,Commerce
62,68,81,71,Artistic,Volunteering,3,4,2,Humanities
75,81,70,48,Business,Finance Club,4,1,4,Commerce
85,83,50,77,Technical,Volunteering,5,2,1,Science
76,61,87,87,Artistic,Drama,2,5,1,Humanities
64,62,79,78,Artistic,Volunteering,1,4,3,Humanities
64,72,82,72,Technical,Volunteering,2,1,5,Science
70,89,83,65,Technical,Robotics,4,1,5,Science
49,70,78,79,Business,Entrepreneurship,1,1,5,Commerce
82,97,86,85,Technical,Robotics,3,3,4,Science
81,87,66,66,Technical,Volunteering,5,2,2,Science
71,91,86,77,Technical,Volunteering,4,5,5,Science
82,72,69,81,Literary,Drama,3,4,2,Humanities
66,77,74,66,Technical,Robotics,2,3,3,Science
74,60,87,78,Artistic,Debating,1,4,3,Humanities
73,76,65,74,Artistic,Drama,2,4,2,Humanities
71,77,71,87,Technical,Robotics,4,4,1,Science
53,65,79,93,Artistic,Drama,1,5,2,Humanities
87,73,65,61,Technical,Robotics,3,2,3,Science
65,86,81,82,Literary,Volunteering,3,5,1,Humanities
58,68,78,97,Business,Entrepreneurship,1,2,5,Commerce
57,47,63,95,Literary,Drama,1,5,2,Humanities
88,100,82,68,Technical,Robotics,5,3,4,Science
64,60,85,45,Technical,Volunteering,2,1,3,Science
75,70,78,91,Literary,Debating,3,3,5,Humanities
61,73,81,76,Artistic,Drama,1,4,1,Humanities
78,76,65,79,Business,Volunteering,3,4,5,Commerce
83,79,79,87,Business,Entrepreneurship,2,3,4,Commerce
48,67,68,46,Technical,Robotics,1,1,3,Science
64,95,89,93,Artistic,Drama,4,5,2,Humanities
86,72,69,64,Artistic,Volunteering,3,2,3,Science
75,84,87,85,Technical,Volunteering,4,5,3,Science
71,86,80,78,Business,Volunteering,1,3,4,Commerce
65,65,78,83,Artistic,Volunteering,2,4,2,Humanities
64,81,54,81,Artistic,Debating,2,4,1,Humanities
79,70,67,66,Literary,Volunteering,2,1,1,Humanities
61,69,74,60,Technical,Volunteering,3,3,1,Science
62,67,48,67,Literary,Debating,1,1,5,Humanities
99,89,74,68,Artistic,Debating,5,5,4,Humanities
83,79,69,75,Technical,Volunteering,4,3,3,Science
78,82,85,95,Artistic,Volunteering,4,5,4,Humanities
72,79,99,100,Artistic,Debating,4,4,5,Humanities
81,85,81,69,Business,Finance Club,3,3,4,Commerce
62,95,97,89,Business,Volunteering,4,5,4,Humanities
70,84,87,85,Business,Entrepreneurship,4,5,3,Commerce
62,63,66,64,Business,Volunteering,3,3,4,Commerce
80,53,74,61,Business,Volunteering,2,2,5,Commerce
79,79,57,72,Technical,Robotics,4,1,5,Science
71,86,69,67,Technical,Robotics,2,1,5,Science
83,70,70,71,Artistic,Volunteering,3,1,1,Humanities
78,83,90,61,Technical,Volunteering,4,5,4,Science
69,72,83,75,Literary,Debating,2,5,4,Humanities
88,80,88,87,Business,Volunteering,5,4,4,Commerce
88,58,71,86,Business,Volunteering,4,4,1,Humanities
57,55,68,79,Artistic,Debating,1,1,2,Humanities
75,87,80,76,Literary,Volunteering,2,3,3,Humanities
89,85,84,86,Technical,Volunteering,5,2,3,Science
80,66,65,64,Artistic,Volunteering,1,1,3,Humanities
57,83,77,88,Artistic,Debating,3,5,1,Humanities
55,79,54,65,Technical,Robotics,1,2,2,Science
88,69,74,75,Technical,Volunteering,3,2,3,Science
76,100,68,72,Technical,Volunteering,4,2,3,Science
68,77,81,58,Technical,Robotics,4,1,5,Science
94,82,51,77,Technical,Robotics,4,1,1,Science
87,79,78,73,Technical,Robotics,5,3,3,Science
85,82,65,100,Technical,Robotics,5,4,2,Science
83,79,87,82,Literary,Drama,3,2,2,Humanities
64,76,63,66,Business,Volunteering,1,1,2,Commerce
68,61,85,58,Literary,Debating,1,2,3,Humanities
82,75,68,68,Artistic,Volunteering,2,1,4,Humanities
85,75,77,78,Artistic,Debating,4,3,2,Humanities
75,90,86,89,Technical,Volunteering,4,4,3,Science
72,77,66,69,Technical,Robotics,1,1,1,Science
57,73,66,66,Technical,Volunteering,5,1,5,Science
78,90,67,62,Business,Entrepreneurship,4,1,1,Science
77,85,71,69,Literary,Volunteering,3,2,2,Humanities
87,87,79,63,Literary,Debating,4,2,2,Humanities
76,75,82,68,Technical,Volunteering,3,2,5,Science
66,100,81,60,Artistic,Debating,3,5,3,Humanities
72,75,66,72,Technical,Volunteering,5,4,3,Science
80,89,69,91,Literary,Drama,4,3,4,Humanities
69,74,82,86,Technical,Volunteering,4,3,3,Science
70,65,62,71,Technical,Robotics,4,2,1,Science
51,58,62,66,Business,Volunteering,1,3,4,Commerce
83,67,75,87,Technical,Robotics,4,3,5,Science
79,73,69,59,Technical,Robotics,5,2,4,Science
81,60,66,71,Artistic,Volunteering,2,1,3,Humanities
69,59,74,78,Artistic,Drama,2,4,1,Humanities
80,90,71,93,Artistic,Debating,2,5,5,Humanities
76,73,78,63,Artistic,Debating,3,1,4,Humanities
60,95,78,76,Technical,Robotics,4,4,3,Science
62,61,100,85,Artistic,Drama,2,5,4,Humanities
60,70,85,70,Business,Entrepreneurship,1,2,5,Commerce
53,68,80,77,Artistic,Volunteering,2,1,1,Humanities
86,96,63,67,Technical,Volunteering,5,1,4,Science
88,83,74,68,Technical,Robotics,4,1,2,Science
75,78,71,84,Technical,Volunteering,4,5,5,Science
74,86,81,78,Technical,Volunteering,5,4,3,Science
76,40,80,86,Business,Finance Club,1,5,3,Commerce
66,88,71,66,Business,Finance Club,5,3,1,Science
60,61,68,67,Business,Volunteering,2,1,5,Commerce
73,65,74,81,Business,Entrepreneurship,1,3,1,Commerce
57,89,66,71,Artistic,Debating,4,2,3,Humanities
65,53,65,60,Business,Finance Club,2,3,1,Commerce
80,81,95,91,Business,Finance Club,5,3,1,Commerce
45,67,81,82,Artistic,Volunteering,2,5,5,Humanities
74,82,70,82,Business,Entrepreneurship,5,3,2,Science
52,82,84,76,Literary,Debating,1,3,2,Humanities
